"filename", "language", "Python", "HTML", "CSS", "XML", "JavaScript", "Markdown", "JSON", "Properties", "reStructuredText", "C", "PowerShell", "comment", "blank", "total"
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\itsdangerous\_json.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 17
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\itsdangerous\encoding.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 55
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\itsdangerous\exc.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 25, 108
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\itsdangerous\serializer.py", "Python", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 44, 296
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\itsdangerous\signer.py", "Python", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 49, 258
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\itsdangerous\timed.py", "Python", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 38, 235
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\itsdangerous\url_safe.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 19, 81
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\__init__.py", "Python", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 38
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\_identifier.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\async_utils.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27, 85
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\bccache.py", "Python", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 51, 407
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\compiler.py", "Python", 1420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 247, 291, 1958
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\constants.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 1, 21
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\debug.py", "Python", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 32, 192
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\defaults.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 49
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\environment.py", "Python", 926, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 554, 188, 1668
"c:\Users\HP\Desktop\Ingenieria de Software I\1 chatbot\chatbot-deployment\.venv\lib\python3.10\site-packages\jinja2\exceptions.py", "Python", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 41, 167
